Experiment,Epoch,TotalEpochs,G_Loss,D_Loss,ModeVar,FID
WGANGP,6,150,118.4799,-8.128,0.0796,
WGANGP,7,150,126.9493,27.6336,0.0968,
WGANGP,8,150,119.8279,51.5308,0.0753,
WGANGP,9,150,141.1574,-6.5054,0.0801,
WGANGP,10,150,138.7588,293.2205,0.0713,138.0148
WGANGP,11,150,155.9765,121.5934,0.0765,
WGANGP,12,150,162.0681,-1.9988,0.0865,
WGANGP,13,150,156.0887,15.3698,0.0816,
WGANGP,14,150,150.6531,28.5383,0.0705,
WGANGP,15,150,193.8848,-8.454,0.0806,
WGANGP,16,150,205.9789,96.4868,0.0606,
WGANGP,17,150,206.9802,169.2772,0.0901,
WGANGP,18,150,223.4756,-9.3514,0.0995,
WGANGP,19,150,237.714,12.1748,0.0854,
WGANGP,20,150,261.1504,-4.8414,0.0995,131.4971
WGANGP,21,150,247.1534,-7.3231,0.0827,
WGANGP,22,150,276.838,167.7654,0.076,
WGANGP,23,150,280.1561,27.4637,0.0908,
WGANGP,24,150,299.7972,0.1814,0.0877,
WGANGP,25,150,300.0834,-17.7729,0.0871,
WGANGP,26,150,308.7678,-10.9098,0.0687,
WGANGP,27,150,328.0656,82.2978,0.0926,
WGANGP,28,150,325.3738,202.5576,0.0789,
WGANGP,29,150,312.8688,87.5,0.0817,
WGANGP,30,150,324.9433,249.1989,0.1179,143.8983
WGANGP,31,150,331.469,39.6496,0.0853,
WGANGP,32,150,326.4123,63.5017,0.0701,
WGANGP,33,150,351.1124,54.9013,0.0641,
WGANGP,34,150,341.9743,21.4516,0.0681,
WGANGP,35,150,312.1056,489.3803,0.1022,
WGANGP,36,150,308.9362,219.877,0.077,
WGANGP,37,150,343.9947,62.8801,0.0648,
WGANGP,38,150,330.4824,16.9106,0.0665,
WGANGP,39,150,339.3948,9.2771,0.0589,
WGANGP,40,150,323.2505,526.143,0.0656,125.8258
WGANGP,41,150,318.3798,460.1769,0.0805,
WGANGP,42,150,306.6891,5.7615,0.0813,
